&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/065_TI64_NDload_900C_15mms_25_02_2017-103832/pixium_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.000144	0.132963	0.036185
00002	0.000211	0.134210	0.036145
00003	-0.000015	0.133640	0.036093
00004	-0.000260	0.134010	0.036059
00005	-0.000261	0.135240	0.035974
00006	-0.000263	0.134308	0.035792
00007	-0.000548	0.136878	0.035653
00008	-0.000660	0.135039	0.035466
00009	-0.001185	0.134408	0.035275
00010	-0.001566	0.136497	0.035120
00011	-0.001266	0.136564	0.035036
00012	-0.001060	0.136727	0.034996
00013	-0.001366	0.139048	0.035088
00014	-0.001006	0.139354	0.035382
00015	-0.000565	0.140020	0.035582
00016	-0.000469	0.140353	0.035826
00017	0.000095	0.141891	0.036117
00018	0.000717	0.142249	0.036276
00019	0.000255	0.142085	0.036404
00020	0.000389	0.144703	0.036417
00021	0.000587	0.143074	0.036520
00022	0.000742	0.145180	0.036410
00023	0.000399	0.143910	0.036568
00024	0.000655	0.142376	0.036565
00025	0.000672	0.143686	0.036458
00026	0.000440	0.143295	0.036405
00027	-0.000204	0.145044	0.036390
00028	0.000623	0.142432	0.036364
00029	0.000584	0.146969	0.036278
00030	0.000434	0.143633	0.036367
00031	0.000127	0.144504	0.036263
00032	0.000124	0.148422	0.036129
00033	0.000242	0.146853	0.036198
00034	-0.000135	0.150455	0.036123
00035	0.000319	0.148395	0.036109
00036	0.000296	0.152232	0.036137
00037	0.000236	0.152186	0.036096
00038	0.000177	0.153658	0.036165
00039	0.000118	0.155054	0.036170
00040	-0.000139	0.154505	0.036124
00041	-0.000416	0.158674	0.036178
00042	-0.000136	0.162045	0.036142
00043	0.000181	0.164007	0.036151
00044	0.000382	0.164423	0.036171
00045	0.000574	0.166787	0.036118
00046	0.000274	0.167686	0.036080
00047	0.000059	0.171215	0.036015
00048	-0.000149	0.173243	0.035996
00049	-0.000362	0.176554	0.035909
00050	-0.000576	0.177979	0.035741
00051	-0.000790	0.180541	0.035544
00052	-0.000434	0.181061	0.035420
